ปรินิพพาน	ปะ ริ นิบ พาน
ปริมาณ	ปะ ริ มาน
ปริมาณสารสัมพันธ์	ปะ ริ มาน สาน สำ พัน
ปริมาตร	ปะ ริ มาด
ปริยาย	ปะ ริ ยาย
ปริวรรต	ปะ ริ วัด
ปริวรรต	ปะ ริ วัด ตะ 
ปริ่ม	ปฺริ่ม
ปริ้นเตอร์	ปฺริ๊น เต้อ
ปรีชา	ปฺรี ชา
ปรึกษา	ปฺรึก สา
ปรือ	ปฺรือ
ปรุง	ปฺรุง
ปรโลก	ปะ ระ โลก
ปรโลก	ปอ ระ โลก
ปฤกษา	ปฺรึก สา
ปฤจฉาสรรพนาม	ปฺริด ฉา สับ พะ นาม
ปลง	ปฺลง
ปลงพระชนม์	ปฺลง พฺระ ชน
ปลด	ปฺลด
ปลดกลางอากาศ	ปฺลด กฺลาง อา กาด
ปลดทุกข์	ปฺลด ทุก
ปลดปล่อย	ปฺลด ปฺล่อย
ปลดแอก	ปฺลด แอก
ปลวก	ปฺลวก
ปลอก	ปฺลอก
ปลอกคอ	ปฺลอก คอ
ปลอกนิ้ว	ปฺลอก นิ้ว
ปลอกหมอน	ปฺลอก หฺมอน
ปลอด	ปฺลอด
ปลอดภัย	ปฺลอด ไพ
ปลอดภัยไว้ก่อน	ปฺลอด ไพ ไว้ ก่อน
ปลอดภาษี	ปฺลอด พา สี
ปลอดโปร่ง	ปฺลอด โปฺร่ง
ปลอบ	ปฺลอบ
ปลอบโยน	ปฺลอบ โยน
ปลอบใจ	ปฺลอบ ไจ
ปลอม	ปฺลอม
ปลัก	ปฺลัก
ปลัด	ปะ หฺลัด
ปลัดขิก	ปะ หฺลัด ขิก
ปลั่ง	ปฺลั่ง
ปลั๊ก	ปฺลั๊ก
ปลั๊กอิน	ปฺลั๊ก อิน
ปลั๊กอเนกประสงค์	ปฺลั๊ก อะ เหฺนก ปฺระ สง
ปลา	ปฺลา
ปลากระดูกอ่อน	ปฺลา กฺระ ดูก อ่อน
ปลาดาว	ปฺลา ดาว
ปลาดิบ	ปฺลา ดิบ
ปลาทอง	ปฺลา ทอง
ปลาบปลื้ม	ปฺลาบ ปฺลื้ม
ปลาย	ปฺลาย
ปลายทาง	ปฺลาย ทาง
ปลายาว	ปฺลา ยาว
ปลายแขน	ปฺลาย แขน
ปลาร้า	ปฺลา ร้า
ปลาสนาการ	ปะ ลาด สะ นา กาน
ปลาหมอตายเพราะปาก	ปฺลา หฺมอ ตาย เพฺราะ ปาก
ปลาหมึก	ปฺลา หฺมึก
ปลาเน่าตัวเดียวเหม็นทั้งข้อง	ปฺลา เน่า ตัว เดียว เหฺม็น ทั้ง ค็่อง
ปลิง	ปฺลิง
ปลิงทะเล	ปฺลิง ทะ เล
ปลิว	ปฺลิว
ปลิ้น	ปฺลิ้น
ปลี	ปฺลี
ปลีก	ปฺลีก
ปลีกล้วยหูเหลืองใหญ่	ปฺลี กฺล้วย หู เหฺลือง ไหฺย่
ปลุก	ปฺลุก
ปลุกปั่น	ปฺลุก ปั่น
ปลูก	ปฺลูก
ปลูกฝัง	ปฺลูก ฝัง
ปล่อง	ปฺล็่อง
ปล่องควัน	ปฺล็่อง คฺวัน
ปล่องภูเขาไฟ	ปฺล็่อง พู เขา ไฟ
ปล่องไฟ	ปฺล็่อง ไฟ
ปล่อย	ปฺล็่อย
ปล่อยของ	ปฺล็่อย ของ
ปล่อยวาง	ปฺล็่อย วาง
ปล่อยไก่	ปฺล็่อย ไก่
ปล้น	ปฺล้น
ปล้นทรัพย์	ปฺล้น ซับ
ปล้อง	ปฺล็้อง
ปล้ำ	ปฺล้ำ
ปวยร์โตริโก	ปวย โต ริ โก้
ปวยเล้ง	ปวย เล้ง
ปอกกล้วยเข้าปาก	ปอก กฺล้วย เข้า ปาก
ปอดบวม	ปอด บวม
ปอนด์	ปอน
ปอร์โตแปรงซ์	ปอ โต แปฺร็๊ง
ปะการัง	ปะ กา รัง
ปะทะ	ปะ ทะ
ปะทุ	ปะ ทุ
ปะระโลกย	ปะ ระ โลก
ปะแล่ม	ปะ แล่ม
ปักกิ่ง	ปัก กิ่ง
ปักษา	ปัก สา
ปักษิน	ปัก สิน
ปักษี	ปัก สี
ปักเป้า	ปัก กะ เป้า
ปักเป้า	ปั๊ก กะ เป้า
ปังตอ	ปัง ตอ
ปัจจัย	ปัด ไจ
ปัจจัย	ปัด ไจ 
ปัจจัย	ปัด ไจ ยะ 
ปัจจุบัน	ปัด จุ บัน
ปัจฉิม	ปัด ฉิม
ปัจฉิม	ปัด ฉิม มะ 
ปัจฉิม	ปัด ฉิม 
ปัจฉิมบท	ปัด ฉิม มะ บด
ปัจฉิมบท	ปัด ฉิม บด
ปัญจาบ	ปัน จาบ
ปัญญา	ปัน ยา
ปัญญาจารย์	ปัน ยา จาน
ปัญญาชน	ปัน ยา ชน
ปัญญาประดิษฐ์	ปัน ยา ปฺระ ดิด
ปัญญาอ่อน	ปัน ยา อ่อน
ปัญหา	ปัน หา
ปัญหาข้อเท็จจริง	ปัน หา ข้อ เท็ด จิง
ปัญหาโลกแตก	ปัน หา โลก แตก
ปัณฑุกัมพล	ปัน ดุ กำ พน
ปัดถู	ปัด ถู
ปัดฝุ่น	ปัด ฝุ่น
ปัดเป่า	ปัด เป่า
ปัดโธ่	ปัด โธ่
ปัตตานี	ปัด ตา นี
ปัทมา	ปัด ทะ มา
ปัสสาวะ	ปัด สา วะ
ปั่นป่วน	ปั่น ป่วน
ปั้นจั่น	ปั้น จั่น
ปั๊มน้ำมัน	ปั๊ม น้ำ มัน
ปากกา	ปาก กา
ปากกาคมกว่าดาบ	ปาก กา คม กฺว่า ดาบ
ปากคนยาวกว่าปากกา	ปาก คน ยาว กฺว่า ปาก กา
ปากคำ	ปาก คำ
ปากท้อง	ปาก ท้อง
ปากปลาร้า	ปาก ปฺลา ร้า
ปากว่าตาขยิบ	ปาก ว่า ตา ขะ หฺยิบ
ปากหมา	ปาก หฺมา
ปากหวาน	ปาก หฺวาน
ปากีสถาน	ปา กี สะ ถาน
ปากใบ	ปาก ไบ
ปาขี้	ปา ขี้
ปาฏิหาริย์	ปา ติ หาน
ปาดหน้า	ปาด หฺน้า
ปาทังกา	ปา ทัง กา
ปาท่องโก๋	ปา ท็่อง โก๋
ปาน	ปาน
ปาน	ปา นะ 
ปานามา	ปา นา มา
ปาปัวนิวกินี	ปา ปัว นิว กิ นี
ปารากวัย	ปา รา ไกฺว
ปารีส	ปา รีส
ปาร์ตี้	ปา ตี้
ปาลีกีร์	ปา ลี กี
ปาล์ม	ปาม
ปาเลสไตน์	ปา เล้ส ตาย
ปาเลา	ปา เลา
ปิกนิก	ปิ๊ก นิก
ปิงปอง	ปิง ป็อง
ปิดตาย	ปิด ตาย
ปิดทองหลังพระ	ปิด ทอง หฺลัง พฺระ
ปิดสวิตช์	ปิด สะ วิด
ปิดหีบ	ปิด หีบ
ปิตร	ปิด ตฺระ 
ปิตาธิปไตย	ปิ ตา ทิ ปะ ไต
ปิตาธิปไตย	ปิ ตา ทิบ ปะ ไต
ปิติ	ปิ ติ
ปิตุฆาต	ปิ ตุ คาด
ปิตุลา	ปิ ตุ ลา
ปิศาจ	ปิ สาด
ปิศาจบดี	ปิ สา จะ บอ ดี
ปิโตรเลียม	ปิ โตฺร เลียม
ปิโตรเลียม	ปิ โตฺร เลี่ยม
ปิ่นโต	ปิ่น โต
ปีกกล้าขาแข็ง	ปีก กฺล้า ขา แข็ง
ปีกกา	ปีก กา
ปีกลาย	ปี กฺลาย
ปีติ	ปี ติ
ปีมะโว้	ปี มะ โว้
ปีย์รติ	ปี ร ติ
ปีศาจ	ปี สาด
ปีแสง	ปี แสง
ปีใหม่	ปี ไหฺม่
ปี่จุม	ปี่ จุม
ปี่พาทย์	ปี่ พาด
ปืนกล	ปืน กน
ปืนกลมือ	ปืน กน มือ
ปืนครก	ปืน คฺรก
ปืนฉีดน้ำ	ปืน ฉีด น้าม
ปืนพก	ปืน พก
ปืนลม	ปืน ลม
ปืนลูกซอง	ปืน ลูก ซอง
ปืนสั้น	ปืน สั้น
ปืนเล็กยาว	ปืน เล็ก ยาว
ปืนใหญ่	ปืน ไหฺย่
ปืนไฟ	ปืน ไฟ
ปุจฉา	ปุด ฉา
ปุบปับ	ปุบ ปับ
ปุโรหิต	ปุ โร หิด
ปุ่มกด	ปุ่ม กด
ปุ๋ยคอก	ปุ๋ย คอก
ปูนปลาสเตอร์	ปูน ปฺล๊าส เต้อ
